Machine_ID,Date_fabrication,Type_tissu,Quantite_kg,Vitesse_m_per_min,Temperature_C,Humidite_pct,Duree_min,Resultat_qualite_pct
M10,2024-02-28,Lin,410,44,62,51,118,71.39
M4,2024-03-12,Coton,244,57,89,50,273,79.62
M6,2023-09-24,Lin,393,57,64,49,222,76.4
M4,2025-09-08,Lin,286,64,77,59,223,80.85
M6,2023-04-19,Coton,167,42,80,42,128,73.53
M6,2025-08-05,Lin,385,71,85,58,294,81.23
M5,2025-07-19,Lin,176,75,94,38,251,89.06
M7,2023-02-05,Polyester,162,48,92,45,83,80.33
M3,2024-09-09,Soie,355,44,84,42,212,74.46
M9,2025-06-04,Coton,398,47,94,54,128,78.19
M5,2025-05-17,Soie,130,69,60,60,244,74.77
M3,2025-10-07,Mélange,104,80,79,56,223,82.67
M3,2025-01-20,Polyester,440,50,94,60,259,77.28
M6,2024-04-02,Soie,59,47,83,58,272,70.27
M4,2025-03-05,Mélange,90,45,91,56,77,72.05
M8,2024-04-18,Mélange,134,56,93,57,215,77.88
M4,2024-02-08,Polyester,254,63,88,58,192,77.87
M4,2025-04-01,Coton,223,41,97,47,118,77.93
M2,2023-09-08,Coton,167,44,62,57,144,70.0
M5,2025-10-16,Soie,159,74,68,53,299,77.38
M4,2025-07-12,Soie,463,66,72,33,84,80.73
M7,2025-06-26,Soie,289,43,66,31,163,70.0
M2,2024-03-09,Lin,148,52,94,44,95,80.34
M8,2025-02-02,Lin,497,44,88,55,280,71.95
M9,2024-04-28,Coton,97,55,70,43,184,75.01
M7,2024-05-14,Coton,134,64,60,42,127,76.82
M9,2025-12-18,Soie,129,52,78,36,74,73.1
M1,2025-03-02,Polyester,79,43,97,45,188,79.05
M9,2025-04-13,Coton,485,51,64,49,77,72.1
M2,2023-07-22,Mélange,176,77,98,31,218,85.32
M10,2025-06-08,Mélange,317,60,76,36,231,76.2
M5,2023-01-15,Soie,117,59,89,40,297,84.2
M10,2024-03-12,Mélange,101,44,94,36,189,76.17
M2,2025-12-10,Lin,239,58,70,44,273,75.08
M10,2023-03-09,Mélange,54,75,79,59,229,83.15
M2,2025-04-23,Coton,430,75,69,38,132,78.46
M6,2024-01-03,Lin,401,80,76,46,185,85.42
M7,2025-05-06,Polyester,72,40,81,54,93,70.0
M8,2023-12-05,Mélange,411,67,95,30,88,79.44
M9,2024-03-02,Coton,477,63,97,47,97,84.29
