Tache_ID,Date,Produit,Type_tissu,Quantite_kg,Machine_utilisee,Duree_min,Resultat_qualite_pct
T00001,2025-03-02,Rideaux,Soie,456,M10,293,77.85
T00002,2023-08-10,Serviettes,Mélange,60,M7,271,70.0
T00003,2024-09-09,Tissus techniques,Soie,147,M10,102,70.0
T00004,2023-03-10,Rideaux,Polyester,56,M8,120,70.13
T00005,2025-02-19,Tissus techniques,Coton,327,M10,251,78.74
T00006,2025-01-04,Draps,Lin,79,M4,253,70.0
T00007,2024-08-06,Housses,Coton,426,M7,218,81.67
T00008,2025-05-05,Tissus techniques,Coton,376,M7,166,78.98
T00009,2025-07-09,Tissus techniques,Coton,64,M8,237,70.0
T00010,2025-04-12,Serviettes,Soie,224,M7,153,74.06
T00011,2023-12-23,Draps,Mélange,176,M2,235,78.31
T00012,2023-01-21,Draps,Coton,427,M7,80,80.74
T00013,2025-09-08,Serviettes,Coton,219,M3,205,74.41
T00014,2023-01-27,Tissus techniques,Polyester,85,M7,284,70.99
T00015,2024-12-23,Rideaux,Lin,69,M9,156,71.61
T00016,2023-05-05,Housses,Lin,99,M7,185,70.44
T00017,2023-04-05,Rideaux,Soie,478,M5,131,73.25
T00018,2024-02-02,Tissus techniques,Coton,454,M7,75,85.21
T00019,2024-08-21,Serviettes,Soie,282,M9,196,76.11
T00020,2025-03-03,Rideaux,Coton,328,M2,70,77.75
T00021,2023-08-06,Housses,Coton,307,M5,180,75.97
T00022,2025-09-24,Draps,Coton,385,M2,176,75.49
T00023,2023-12-12,Tissus techniques,Polyester,288,M7,249,75.2
T00024,2024-09-21,Rideaux,Soie,437,M6,175,73.94
T00025,2025-01-08,Serviettes,Soie,371,M8,282,84.25
T00026,2025-06-21,Housses,Polyester,443,M8,298,75.16
T00027,2025-02-27,Draps,Mélange,439,M10,243,75.68
T00028,2025-10-27,Serviettes,Soie,320,M5,198,75.08
T00029,2025-07-11,Serviettes,Lin,444,M1,197,82.74
T00030,2023-05-11,Serviettes,Lin,185,M4,66,73.74
T00031,2024-10-27,Housses,Lin,63,M8,277,70.0
T00032,2023-01-01,Serviettes,Soie,443,M8,149,82.62
T00033,2024-05-15,Rideaux,Lin,465,M10,171,81.49
T00034,2024-12-03,Tissus techniques,Lin,320,M3,147,78.02
T00035,2023-02-16,Serviettes,Lin,76,M4,275,73.67
T00036,2024-09-06,Draps,Soie,460,M3,159,86.38
T00037,2023-11-08,Draps,Mélange,442,M1,260,85.4
T00038,2025-05-18,Draps,Mélange,403,M9,242,76.0
T00039,2024-12-03,Draps,Lin,445,M6,188,83.77
T00040,2023-05-10,Serviettes,Coton,253,M6,234,76.21
T00041,2024-08-05,Draps,Coton,118,M8,87,73.86
T00042,2025-07-17,Draps,Coton,339,M9,290,71.7
T00043,2023-11-28,Tissus techniques,Soie,269,M4,293,74.87
T00044,2024-03-03,Rideaux,Lin,264,M8,111,72.84
T00045,2025-08-04,Draps,Coton,281,M1,299,78.1
T00046,2024-09-14,Housses,Soie,190,M7,248,77.01
T00047,2024-02-10,Tissus techniques,Lin,229,M10,275,70.0
T00048,2024-07-18,Housses,Polyester,148,M8,134,72.89
T00049,2023-06-06,Rideaux,Soie,277,M7,197,78.91
T00050,2025-10-21,Tissus techniques,Soie,465,M4,234,78.74
T00051,2025-06-03,Tissus techniques,Soie,67,M4,245,73.53
T00052,2023-11-21,Serviettes,Soie,428,M1,85,79.61
T00053,2024-11-24,Draps,Mélange,230,M1,233,75.62
T00054,2024-11-26,Draps,Polyester,379,M2,218,76.77
T00055,2025-07-24,Serviettes,Lin,164,M1,226,70.0
T00056,2024-08-16,Serviettes,Polyester,417,M10,167,74.98
T00057,2023-12-03,Rideaux,Mélange,411,M6,235,80.35
T00058,2025-11-28,Serviettes,Lin,461,M9,258,79.28
T00059,2024-02-13,Serviettes,Mélange,399,M1,171,77.56
T00060,2023-09-24,Housses,Coton,214,M7,161,73.01
T00061,2023-11-27,Serviettes,Coton,344,M9,74,75.96
T00062,2024-02-21,Housses,Lin,184,M4,130,76.82
T00063,2025-04-14,Serviettes,Polyester,272,M9,75,74.43
T00064,2025-09-16,Tissus techniques,Mélange,372,M4,132,73.42
T00065,2024-03-10,Rideaux,Coton,410,M7,178,80.43
T00066,2024-03-04,Housses,Soie,431,M5,121,78.01
T00067,2023-10-14,Rideaux,Soie,204,M3,214,74.17
T00068,2025-04-05,Tissus techniques,Mélange,170,M5,193,78.22
T00069,2024-01-20,Serviettes,Mélange,484,M6,86,79.62
T00070,2024-11-06,Housses,Mélange,70,M9,139,72.27
T00071,2024-05-17,Serviettes,Soie,121,M8,182,70.0
T00072,2023-04-04,Serviettes,Polyester,316,M2,93,75.66
T00073,2025-09-15,Tissus techniques,Soie,164,M5,61,75.11
T00074,2024-02-20,Tissus techniques,Polyester,183,M8,168,70.0
T00075,2024-12-06,Serviettes,Polyester,255,M10,162,75.7
T00076,2025-06-25,Draps,Soie,353,M3,77,77.36
T00077,2024-06-03,Tissus techniques,Coton,176,M6,236,73.64
T00078,2025-03-21,Housses,Polyester,217,M5,224,77.45
T00079,2024-01-23,Rideaux,Coton,370,M1,150,78.4
T00080,2024-05-22,Rideaux,Mélange,72,M8,166,75.87
T00081,2024-05-18,Tissus techniques,Mélange,202,M2,117,71.06
T00082,2025-11-08,Draps,Lin,283,M7,71,76.07
T00083,2024-09-25,Serviettes,Lin,229,M10,133,74.83
T00084,2025-03-21,Serviettes,Polyester,235,M3,133,71.49
T00085,2025-09-04,Tissus techniques,Coton,389,M4,285,80.65
T00086,2024-04-10,Draps,Soie,267,M6,139,82.31
T00087,2024-02-26,Rideaux,Coton,102,M10,227,71.99
